phenomenon,model,layer,control,spearman,p
role_reversal,gpt2,6,lexical_jaccard,-0.34209939849996024,1.9524532707777568e-42
role_reversal,gpt2,7,lexical_jaccard,-0.30401384902579937,1.9170732773610053e-33
role_reversal,gpt2,8,lexical_jaccard,-0.2650034199231327,1.5903561337192117e-25
role_reversal,gpt2,9,lexical_jaccard,-0.23826847922279984,8.323444662926227e-21
role_reversal,gpt2,10,lexical_jaccard,-0.21203580099977365,1.0427600120089673e-16
role_reversal,gpt2,11,lexical_jaccard,-0.1766605403800225,5.556060155496618e-12
role_reversal,gpt2,12,lexical_jaccard,-0.19127723908034147,7.956150347732464e-14
role_reversal,roberta-base,0,abs_length_delta,0.28095427856761024,1.3045838478499905e-28
role_reversal,roberta-base,1,abs_length_delta,0.26836559968145973,3.6993151317070075e-26
role_reversal,roberta-base,2,abs_length_delta,0.2814275144335309,1.0489352508131023e-28
role_reversal,roberta-base,3,abs_length_delta,0.2552715305242377,9.639211228795651e-24
role_reversal,roberta-base,4,abs_length_delta,0.2187108586218782,1.0575402994828077e-17
role_reversal,roberta-base,5,abs_length_delta,0.209752691949191,2.2417269375949725e-16
role_reversal,roberta-base,6,abs_length_delta,0.16861763634578572,4.957725969668931e-11
role_reversal,roberta-base,7,abs_length_delta,0.18171069974743667,1.3327309999624401e-12
role_reversal,roberta-base,8,abs_length_delta,0.19489921074210992,2.631591959644721e-14
role_reversal,roberta-base,9,abs_length_delta,0.20303210692945944,2.0270769431165713e-15
role_reversal,roberta-base,10,abs_length_delta,0.1893566177877598,1.4180001188293542e-13
role_reversal,roberta-base,11,abs_length_delta,0.20233487286416155,2.5362693036392033e-15
role_reversal,roberta-base,12,abs_length_delta,0.1991547624667588,6.97629005887911e-15
role_reversal,roberta-base,0,edit_distance,0.26523942618926,1.4365828934899454e-25
role_reversal,roberta-base,1,edit_distance,0.17689725130451683,5.201232063355318e-12
role_reversal,roberta-base,2,edit_distance,0.1128320658388549,1.185059512252568e-05
role_reversal,roberta-base,3,edit_distance,0.11183275958677928,1.4165661101423289e-05
role_reversal,roberta-base,4,edit_distance,0.1488754536702052,6.896413903708117e-09
role_reversal,roberta-base,5,edit_distance,0.16507645102271562,1.2574572751661227e-10
role_reversal,roberta-base,6,edit_distance,0.17047691246807334,3.016934038544591e-11
role_reversal,roberta-base,7,edit_distance,0.15434913982782797,1.866989565478306e-09
role_reversal,roberta-base,8,edit_distance,0.15995569471063673,4.662956428526023e-10
role_reversal,roberta-base,9,edit_distance,0.1350459161242587,1.5208918239644795e-07
role_reversal,roberta-base,10,edit_distance,0.13076950626173495,3.7289722046034254e-07
role_reversal,roberta-base,11,edit_distance,0.12036756555857983,2.940459923941552e-06
role_reversal,roberta-base,12,edit_distance,0.11690321123115079,5.640383519072169e-06
role_reversal,roberta-base,0,lexical_jaccard,-0.43324171787989463,1.133462257560547e-69
role_reversal,roberta-base,1,lexical_jaccard,-0.5675098481564693,1.312864743020283e-128
role_reversal,roberta-base,2,lexical_jaccard,-0.5447557386346188,1.1437867081510688e-116
role_reversal,roberta-base,3,lexical_jaccard,-0.5474172052201827,5.115754513465138e-118
role_reversal,roberta-base,4,lexical_jaccard,-0.5205714785401265,6.055575864402022e-105
role_reversal,roberta-base,5,lexical_jaccard,-0.5189721198926417,3.345831430165765e-104
role_reversal,roberta-base,6,lexical_jaccard,-0.5117365072184633,6.821636470673859e-101
role_reversal,roberta-base,7,lexical_jaccard,-0.499309253103736,2.1627375975505423e-95
role_reversal,roberta-base,8,lexical_jaccard,-0.49360951925067886,6.068283188059016e-93
role_reversal,roberta-base,9,lexical_jaccard,-0.47714094152094344,3.995864327872968e-86
role_reversal,roberta-base,10,lexical_jaccard,-0.4599043644033427,2.238115111646317e-79
role_reversal,roberta-base,11,lexical_jaccard,-0.4473233023800266,1.0885162184992213e-74
role_reversal,roberta-base,12,lexical_jaccard,-0.4888789624523846,6.02521813401273e-91
