phenomenon,model,layer,metric,n,raw_spearman,raw_p,surface_controlled_spearman,surface_controlled_p
role_reversal,bert-base-uncased,12,delta_cos,1500,0.24371283424028142,1.010394985708279e-21,0.19208087533038637,6.236001928226188e-14
role_reversal,bert-base-uncased,0,delta_frob,1500,0.18208764457391421,1.196030039060889e-12,0.10455048121110631,4.971352093202408e-05
role_reversal,bert-base-uncased,1,delta_frob,1500,0.21778239058571558,1.46055571943936e-17,0.14542956245060878,1.5326208000937064e-08
role_reversal,bert-base-uncased,2,delta_frob,1500,0.24775183181900604,2.0431566395655464e-22,0.1824220531841548,1.08632880581576e-12
role_reversal,bert-base-uncased,3,delta_frob,1500,0.26104018410371954,8.639582336964184e-25,0.1985978672823976,8.314246706363819e-15
role_reversal,bert-base-uncased,4,delta_frob,1500,0.3131034191570423,1.7919439903205703e-35,0.26362256801567746,2.877400510389287e-25
role_reversal,bert-base-uncased,5,delta_frob,1500,0.3175397622570753,1.724807754887359e-36,0.26971753201054566,2.0458908144161027e-26
role_reversal,bert-base-uncased,6,delta_frob,1500,0.32809160987075225,5.607683151256984e-39,0.28196206466821233,8.194660710134279e-29
role_reversal,bert-base-uncased,7,delta_frob,1500,0.32861496306249094,4.1955784323494634e-39,0.2826637059890926,5.921635248899914e-29
role_reversal,bert-base-uncased,8,delta_frob,1500,0.3263821508459944,1.4407846053464987e-38,0.28045799817808786,1.6391176963376308e-28
role_reversal,bert-base-uncased,9,delta_frob,1500,0.32041275977599903,3.708074979768869e-37,0.27530420214972173,1.7069391787400217e-27
